t, velocity, pressure
 1.1544966e+01,  6.5183559e-02,  6.2954713e-02
 1.1735543e+01,  6.3446878e-02,  6.1235628e-02
 1.1926072e+01,  6.1801737e-02,  5.9651953e-02
 1.2116558e+01,  6.0241805e-02,  5.8190112e-02
 1.2307001e+01,  5.8760578e-02,  5.6836922e-02
 1.2497405e+01,  5.7351619e-02,  5.5580083e-02
 1.2687772e+01,  5.6008514e-02,  5.4408011e-02
 1.2878101e+01,  5.4725062e-02,  5.3310526e-02
 1.3068390e+01,  5.3495133e-02,  5.2276941e-02
 1.3258643e+01,  5.2312725e-02,  5.1296480e-02
 1.3448863e+01,  5.1172199e-02,  5.0361287e-02
 1.3639051e+01,  5.0068079e-02,  4.9462327e-02
 1.3829210e+01,  4.8995252e-02,  4.8591052e-02
 1.4019343e+01,  4.7948837e-02,  4.7738949e-02
 1.4209452e+01,  4.6924321e-02,  4.6897878e-02
 1.4399537e+01,  4.5917611e-02,  4.6060100e-02
 1.4589601e+01,  4.4925003e-02,  4.5218401e-02
 1.4779643e+01,  4.3943215e-02,  4.4366219e-02
 1.4969665e+01,  4.2969401e-02,  4.3497934e-02
 1.5159667e+01,  4.2001205e-02,  4.2608992e-02
 1.5349648e+01,  4.1036766e-02,  4.1696053e-02
 1.5539609e+01,  4.0074737e-02,  4.0757127e-02
 1.5729549e+01,  3.9114261e-02,  3.9791560e-02
 1.5919466e+01,  3.8154982e-02,  3.8800092e-02
 1.6109360e+01,  3.7197021e-02,  3.7784754e-02
 1.6299230e+01,  3.6240909e-02,  3.6748731e-02
 1.6489074e+01,  3.5287549e-02,  3.5696204e-02
 1.6678892e+01,  3.4338153e-02,  3.4632155e-02
 1.6868681e+01,  3.3394197e-02,  3.3562154e-02
 1.7058441e+01,  3.2457357e-02,  3.2492129e-02
 1.7248170e+01,  3.1529403e-02,  3.1428075e-02
 1.7437867e+01,  3.0612231e-02,  3.0375925e-02
 1.7627528e+01,  2.9707794e-02,  2.9341847e-02
 1.7817150e+01,  2.8817911e-02,  2.8330017e-02
 1.8006732e+01,  2.7944309e-02,  2.7345239e-02
 1.8196273e+01,  2.7088606e-02,  2.6391616e-02
 1.8385774e+01,  2.6252271e-02,  2.5472263e-02
 1.8575234e+01,  2.5436590e-02,  2.4589371e-02
 1.8764652e+01,  2.4642654e-02,  2.3744516e-02
 1.8954028e+01,  2.3852427e-02,  2.2871179e-02
 1.9143363e+01,  2.3104692e-02,  2.2148879e-02
 1.9332657e+01,  2.2381831e-02,  2.1424831e-02
 1.9521911e+01,  2.1683050e-02,  2.0736140e-02
 1.9711125e+01,  2.1008360e-02,  2.0083344e-02
 1.9900299e+01,  2.0357653e-02,  1.9465249e-02
 2.0089435e+01,  1.9730663e-02,  1.8880378e-02
 2.0278535e+01,  1.9126972e-02,  1.8327017e-02
 2.0467597e+01,  1.8546024e-02,  1.7803357e-02
 2.0656625e+01,  1.7987136e-02,  1.7307543e-02
 2.0845619e+01,  1.7449512e-02,  1.6837665e-02
 2.1034581e+01,  1.6932260e-02,  1.6391804e-02
 2.1223511e+01,  1.6434408e-02,  1.5967988e-02
 2.1412412e+01,  1.5954915e-02,  1.5564201e-02
 2.1601285e+01,  1.5492700e-02,  1.5178396e-02
 2.1790130e+01,  1.5046652e-02,  1.4808476e-02
 2.1978950e+01,  1.4615643e-02,  1.4452326e-02
 2.2167746e+01,  1.4198555e-02,  1.4107801e-02
 2.2356519e+01,  1.3794289e-02,  1.3772834e-02
 2.2545270e+01,  1.3401785e-02,  1.3445355e-02
 2.2734001e+01,  1.3020034e-02,  1.3123436e-02
 2.2922712e+01,  1.2648092e-02,  1.2805304e-02
 2.3111405e+01,  1.2285094e-02,  1.2489377e-02
 2.3300080e+01,  1.1930262e-02,  1.2174308e-02
 2.3488738e+01,  1.1582910e-02,  1.1859025e-02
 2.3677381e+01,  1.1242451e-02,  1.1542762e-02
 2.3866008e+01,  1.0908399e-02,  1.1225065e-02
 2.4054620e+01,  1.0580380e-02,  1.0905904e-02
 2.4243216e+01,  1.0258099e-02,  1.0585103e-02
 2.4431796e+01,  9.9413577e-03,  1.0263357e-02
 2.4620363e+01,  9.6300462e-03,  9.9412990e-03
 2.4808914e+01,  9.3241292e-03,  9.6198015e-03
 2.4997452e+01,  9.0236376e-03,  9.2998731e-03
 2.5185975e+01,  8.7090101e-03,  8.9196881e-03
 2.5374485e+01,  8.4201496e-03,  8.6456410e-03
 2.5562980e+01,  8.1381452e-03,  8.3421141e-03
 2.5751462e+01,  7.8621414e-03,  8.0424427e-03
 2.5939930e+01,  7.5922563e-03,  7.7493859e-03
 2.6128384e+01,  7.3286805e-03,  7.4640938e-03
 2.6316824e+01,  7.0716091e-03,  7.1874424e-03
 2.6505250e+01,  6.8212346e-03,  6.9201558e-03
 2.6693663e+01,  6.5777372e-03,  6.6627434e-03
 2.6882061e+01,  6.3412764e-03,  6.4154513e-03
 2.7070446e+01,  6.1119913e-03,  6.1785512e-03
 2.7258818e+01,  5.8899903e-03,  5.9519904e-03
 2.7447175e+01,  5.6753522e-03,  5.7356641e-03
 2.7635520e+01,  5.4681254e-03,  5.5293349e-03
 2.7823851e+01,  5.2683260e-03,  5.3327027e-03
 2.8012168e+01,  5.0759391e-03,  5.1453898e-03
 2.8200473e+01,  4.8909183e-03,  4.9669929e-03
 2.8388765e+01,  4.7131866e-03,  4.7970936e-03
 2.8577045e+01,  4.5426371e-03,  4.6352686e-03
 2.8765313e+01,  4.3791335e-03,  4.4811129e-03
 2.8953569e+01,  4.2225114e-03,  4.3342167e-03
 2.9141814e+01,  4.0725791e-03,  4.1941865e-03
 2.9330047e+01,  3.9291197e-03,  4.0606497e-03
 2.9518270e+01,  3.7918927e-03,  3.9331868e-03
 2.9706482e+01,  3.6606378e-03,  3.8114987e-03
 2.9894685e+01,  3.5150093e-03,  3.6398908e-03
 3.0082878e+01,  3.3954798e-03,  3.5577640e-03
 3.0271062e+01,  3.2818103e-03,  3.4552113e-03
 3.0459238e+01,  3.1729364e-03,  3.3548405e-03
 3.0647405e+01,  3.0684922e-03,  3.2573629e-03
 3.0835564e+01,  2.9681605e-03,  3.1627327e-03
 3.1023716e+01,  2.8716417e-03,  3.0707380e-03
 3.1211860e+01,  2.7786543e-03,  2.9810840e-03
 3.1399998e+01,  2.6889359e-03,  2.8934645e-03
 3.1588129e+01,  2.6022438e-03,  2.8076222e-03
 3.1776254e+01,  2.5183562e-03,  2.7233527e-03
 3.1964373e+01,  2.4370731e-03,  2.6404954e-03
 3.2152486e+01,  2.3582164e-03,  2.5589436e-03
 3.2340594e+01,  2.2816302e-03,  2.4786378e-03
 3.2528697e+01,  2.2071808e-03,  2.3995628e-03
 3.2716794e+01,  2.1347551e-03,  2.3217452e-03
 3.2904887e+01,  2.0642600e-03,  2.2452460e-03
 3.3092975e+01,  1.9956202e-03,  2.1701537e-03
 3.3281058e+01,  1.9287767e-03,  2.0965791e-03
 3.3469137e+01,  1.8636846e-03,  2.0246433e-03
 3.3657212e+01,  1.8003106e-03,  1.9544708e-03
 3.3845283e+01,  1.7386311e-03,  1.8861828e-03
 3.4033349e+01,  1.6786301e-03,  1.8198878e-03
 3.4221411e+01,  1.6202973e-03,  1.7556797e-03
 3.4409470e+01,  1.5408035e-03,  1.6396203e-03
 3.4597524e+01,  1.4867293e-03,  1.6053101e-03
 3.4785575e+01,  1.4349600e-03,  1.5524825e-03
 3.4973621e+01,  1.3848479e-03,  1.4999125e-03
 3.5161665e+01,  1.3363292e-03,  1.4487934e-03
 3.5349704e+01,  1.2893826e-03,  1.3994298e-03
 3.5537740e+01,  1.2439938e-03,  1.3519368e-03
 3.5725772e+01,  1.2001520e-03,  1.3063055e-03
 3.5913801e+01,  1.1578465e-03,  1.2624861e-03
 3.6101827e+01,  1.1170650e-03,  1.2204249e-03
 3.6289849e+01,  1.0777917e-03,  1.1800719e-03
 3.6477868e+01,  1.0400067e-03,  1.1413765e-03
 3.6665884e+01,  1.0036854e-03,  1.1042852e-03
 3.6853897e+01,  9.6879798e-04,  1.0687409e-03
 3.7041907e+01,  9.3530995e-04,  1.0346824e-03
 3.7229914e+01,  9.0318199e-04,  1.0020480e-03
 3.7417919e+01,  8.7237055e-04,  9.7076631e-04
 3.7605920e+01,  8.4282815e-04,  9.4077661e-04
 3.7793919e+01,  8.1450414e-04,  9.1200674e-04
 3.7981916e+01,  7.8734501e-04,  8.8438443e-04
 3.8169910e+01,  7.6129501e-04,  8.5783638e-04
 3.8357902e+01,  7.3629684e-04,  8.3228643e-04
 3.8545892e+01,  7.1229229e-04,  8.0765277e-04
 3.8733880e+01,  6.8922375e-04,  7.8388074e-04
 3.8921865e+01,  6.6703199e-04,  7.6085903e-04
 3.9109849e+01,  6.4566113e-04,  7.3853897e-04
 3.9297831e+01,  6.2505703e-04,  7.1684528e-04
 3.9485811e+01,  5.8249570e-04,  6.4788135e-04
 3.9673790e+01,  5.6417423e-04,  6.4503698e-04
 3.9861767e+01,  5.4688914e-04,  6.2926504e-04
 4.0049742e+01,  5.3021353e-04,  6.1204456e-04
 4.0237716e+01,  5.1405966e-04,  5.9466241e-04
 4.0425688e+01,  4.9838220e-04,  5.7742794e-04
 4.0613659e+01,  4.8314777e-04,  5.6045748e-04
 4.0801629e+01,  4.6833051e-04,  5.4377369e-04
 4.0989598e+01,  4.5391007e-04,  5.2739401e-04
 4.1177565e+01,  4.3987036e-04,  5.1133568e-04
 4.1365531e+01,  4.2619859e-04,  4.9562395e-04
 4.1553496e+01,  4.1288448e-04,  4.8028688e-04
 4.1741460e+01,  3.9991969e-04,  4.6535095e-04
 4.1929423e+01,  3.8729729e-04,  4.5083828e-04
 4.2117384e+01,  3.7501150e-04,  4.3676487e-04
 4.2305345e+01,  3.6305756e-04,  4.2314175e-04
 4.2493304e+01,  3.5143094e-04,  4.0997133e-04
 4.2681263e+01,  3.4012823e-04,  3.9725377e-04
 4.2869220e+01,  3.2914631e-04,  3.8498394e-04
 4.3057177e+01,  3.1848245e-04,  3.7315078e-04
 4.3245132e+01,  3.0813406e-04,  3.6174470e-04
 4.3433087e+01,  2.9809884e-04,  3.5075484e-04
 4.3621041e+01,  2.8837438e-04,  3.4016082e-04
 4.3808994e+01,  2.7895822e-04,  3.2995224e-04
 4.3996946e+01,  2.6984766e-04,  3.2011359e-04
 4.4184897e+01,  2.6103969e-04,  3.1063038e-04
 4.4372847e+01,  2.5253086e-04,  3.0148868e-04
 4.4560797e+01,  2.4431722e-04,  2.9267533e-04
 4.4748746e+01,  2.3639424e-04,  2.8417674e-04
 4.4936694e+01,  2.0630130e-04,  2.3492567e-04
 4.5124641e+01,  1.9998842e-04,  2.3761402e-04
 4.5312587e+01,  1.9410904e-04,  2.3394831e-04
 4.5500533e+01,  1.8849405e-04,  2.2879150e-04
 4.5688479e+01,  1.8309786e-04,  2.2330921e-04
 4.5876423e+01,  1.7790175e-04,  2.1784394e-04
 4.6064367e+01,  1.7289425e-04,  2.1249802e-04
 4.6252311e+01,  1.6806639e-04,  2.0730304e-04
 4.6440254e+01,  1.6341051e-04,  2.0222523e-04
 4.6628196e+01,  1.5891837e-04,  1.9727048e-04
 4.6816138e+01,  1.5458249e-04,  1.9246458e-04
 4.7004080e+01,  1.5039549e-04,  1.8777580e-04
 4.7192021e+01,  1.4634971e-04,  1.8320363e-04
 4.7379961e+01,  1.4243729e-04,  1.7875498e-04
 4.7567901e+01,  1.3865081e-04,  1.7441971e-04
 4.7755841e+01,  1.3498239e-04,  1.7019784e-04
 4.7943780e+01,  1.3142510e-04,  1.6608152e-04
 4.8131718e+01,  1.2797169e-04,  1.6206734e-04
 4.8319657e+01,  1.2461593e-04,  1.5814877e-04
 4.8507595e+01,  1.2135191e-04,  1.5432212e-04
 4.8695532e+01,  1.1817426e-04,  1.5058370e-04
 4.8883470e+01,  1.1507821e-04,  1.4693070e-04
 4.9071406e+01,  1.1205951e-04,  1.4336095e-04
 4.9259343e+01,  1.0911444e-04,  1.3987302e-04
 4.9447279e+01,  1.0623972e-04,  1.3646556e-04
 4.9635215e+01,  1.0343261e-04,  1.3313975e-04
 4.9823151e+01,  1.0069048e-04,  1.2989412e-04
 5.0011086e+01,  9.8011312e-05,  1.2672878e-04
 5.0199021e+01,  9.5393304e-05,  1.2364427e-04
 5.0386956e+01,  9.2834933e-05,  1.2064077e-04
 5.0574891e+01,  9.0334928e-05,  1.1771823e-04
 5.0762825e+01,  8.7892243e-05,  1.1487520e-04
 5.0950759e+01,  8.5506057e-05,  1.1211507e-04
 5.1138693e+01,  5.9844249e-05,  7.1567185e-05
 5.1326626e+01,  5.8541532e-05,  7.3567181e-05
 5.1514560e+01,  5.7320364e-05,  7.3907197e-05
 5.1702493e+01,  5.6149345e-05,  7.3417048e-05
 5.1890426e+01,  5.5014203e-05,  7.2547199e-05
 5.2078359e+01,  5.3908115e-05,  7.1513406e-05
 5.2266291e+01,  5.2827622e-05,  7.0418803e-05
 5.2454224e+01,  5.1770896e-05,  6.9309782e-05
 5.2642156e+01,  5.0736931e-05,  6.8205421e-05
 5.2830088e+01,  4.9725160e-05,  6.7112795e-05
 5.3018020e+01,  4.8735258e-05,  6.6033534e-05
 5.3205952e+01,  4.7767035e-05,  6.4967709e-05
 5.3393883e+01,  4.6820367e-05,  6.3915251e-05
 5.3581814e+01,  4.5895145e-05,  6.2875120e-05
 5.3769746e+01,  4.4991235e-05,  6.1853054e-05
 5.3957677e+01,  4.4108499e-05,  6.0843740e-05
 5.4145608e+01,  4.3246694e-05,  5.9851280e-05
 5.4333538e+01,  4.2405547e-05,  5.8876045e-05
 5.4521469e+01,  4.1584738e-05,  5.7920086e-05
 5.4709400e+01,  4.0783885e-05,  5.6981614e-05
 5.4897330e+01,  4.0002584e-05,  5.6061966e-05
 5.5085260e+01,  3.9240409e-05,  5.5160962e-05
 5.5273190e+01,  3.8496918e-05,  5.4278373e-05
 5.5461120e+01,  3.7771665e-05,  5.3413934e-05
 5.5649050e+01,  3.7064199e-05,  5.2567011e-05
 5.5836979e+01,  3.6374071e-05,  5.1738644e-05
 5.6024909e+01,  3.5700843e-05,  5.0926971e-05
 5.6212838e+01,  3.5044071e-05,  5.0132549e-05
 5.6400768e+01,  3.4403320e-05,  4.9355127e-05
 5.6588697e+01,  3.3778157e-05,  4.8594471e-05
 5.6776626e+01,  3.3168152e-05,  4.7850371e-05
 5.6964555e+01,  3.2572877e-05,  4.7122542e-05
 5.7152483e+01,  3.1991899e-05,  4.6410706e-05
 5.7340412e+01,  3.1424787e-05,  4.5713329e-05
 5.7528341e+01,  3.0871087e-05,  4.5034132e-05
 5.7716269e+01,  3.0330395e-05,  4.4367865e-05
 5.7904198e+01,  2.9802245e-05,  4.3716797e-05
 5.8092126e+01,  2.9286286e-05,  4.3078318e-05
 5.8280054e+01,  2.8781877e-05,  4.2454195e-05
 5.8467982e+01,  2.8288953e-05,  4.1844519e-05
 5.8655910e+01,  2.7806482e-05,  4.1244535e-05
 5.8843838e+01,  2.7334374e-05,  4.0657047e-05
 5.9031766e+01,  2.6872192e-05,  4.0080892e-05
 5.9219694e+01,  2.6419523e-05,  3.9514699e-05
 5.9407622e+01,  2.5976002e-05,  3.8961465e-05
 5.9595549e+01,  2.5541200e-05,  3.8416218e-05
 5.9783477e+01,  2.5114790e-05,  3.7882202e-05
 5.9971404e+01,  2.4696488e-05,  3.7354435e-05
 6.0159332e+01,  2.4285881e-05,  3.6837858e-05
 6.0347259e+01,  2.3882747e-05,  3.6329912e-05
 6.0535186e+01,  2.3486813e-05,  3.5829801e-05
 6.0723113e+01,  2.3097777e-05,  3.5340146e-05
 6.0911041e+01,  2.2715525e-05,  3.4857254e-05
 6.1098968e+01,  2.2339779e-05,  3.4382859e-05
 6.1286894e+01,  2.1970348e-05,  3.3916738e-05
 6.1474821e+01,  2.1607054e-05,  3.3458747e-05
 6.1662748e+01,  2.1249737e-05,  3.3008786e-05
 6.1850675e+01,  2.0898250e-05,  3.2566768e-05
 6.2038602e+01,  2.0552460e-05,  3.2132599e-05
 6.2226528e+01,  2.0212244e-05,  3.1706177e-05
 6.2414455e+01,  1.9877497e-05,  3.1287385e-05
 6.2602381e+01,  1.9548122e-05,  3.0876092e-05
 6.2790308e+01,  1.9224035e-05,  3.0472154e-05
 6.2978234e+01,  1.8905164e-05,  3.0075410e-05
 6.3166160e+01,  1.8591446e-05,  2.9685687e-05
 6.3354086e+01,  1.8282832e-05,  2.9302800e-05
 6.3542012e+01,  1.7979278e-05,  2.8926555e-05
 6.3729939e+01,  1.7680755e-05,  2.8556751e-05
 6.3917865e+01,  1.7387235e-05,  2.8191898e-05
 6.4105791e+01,  1.7098771e-05,  2.7836815e-05
 6.4293716e+01,  1.6815246e-05,  2.7483391e-05
 6.4481642e+01,  1.6536683e-05,  2.7138287e-05
 6.4669568e+01,  1.6263114e-05,  2.6797383e-05
 6.4857494e+01,  1.5994546e-05,  2.6461746e-05
 6.5045419e+01,  1.5730992e-05,  2.6131251e-05
 6.5233345e+01,  1.5472468e-05,  2.5805599e-05
 6.5421271e+01,  1.5218987e-05,  2.5484934e-05
 6.5609196e+01,  1.4970574e-05,  2.5168694e-05
 6.5797122e+01,  1.4727241e-05,  2.4856993e-05
 6.5985047e+01,  1.4489000e-05,  2.4549717e-05
 6.6172972e+01,  1.4255862e-05,  2.4246783e-05
 6.6360898e+01,  1.4027828e-05,  2.3948134e-05
 6.6548823e+01,  1.3804899e-05,  2.3653729e-05
 6.6736748e+01,  1.3587063e-05,  2.3363548e-05
 6.6924673e+01,  1.3374302e-05,  2.3077582e-05
 6.7112598e+01,  1.3166591e-05,  2.2795833e-05
 6.7300523e+01,  1.2963892e-05,  2.2518313e-05
 6.7488448e+01,  1.2766160e-05,  2.2245038e-05
 6.7676373e+01,  1.2573337e-05,  2.1976028e-05
 6.7864298e+01,  1.2385357e-05,  2.1711303e-05
 6.8052223e+01,  1.2202143e-05,  2.1450877e-05
 6.8240148e+01,  1.2023606e-05,  2.1196252e-05
 6.8428073e+01,  1.1849675e-05,  2.0942117e-05
 6.8615997e+01,  1.1680181e-05,  2.0693574e-05
 6.8803922e+01,  1.1515058e-05,  2.0453606e-05
 6.8991847e+01,  1.1354177e-05,  2.0214168e-05
 6.9179771e+01,  1.1197403e-05,  1.9978641e-05
 6.9367696e+01,  1.1044601e-05,  1.9748212e-05
 6.9555620e+01,  1.0895640e-05,  1.9521885e-05
 6.9743545e+01,  1.0750374e-05,  1.9299637e-05
 6.9931469e+01,  1.0608660e-05,  1.9081401e-05
 7.0119394e+01,  1.0470351e-05,  1.8867101e-05
 7.0307318e+01,  1.0335302e-05,  1.8656655e-05
 7.0495242e+01,  1.0203366e-05,  1.8450989e-05
 7.0683167e+01,  1.0074428e-05,  1.8246589e-05
 7.0871091e+01,  9.9482735e-06,  1.8047453e-05
 7.1059015e+01,  9.8248217e-06,  1.7851383e-05
 7.1246939e+01,  9.7039289e-06,  1.7658301e-05
 7.1434864e+01,  9.5854427e-06,  1.7470490e-05
 7.1622788e+01,  9.4693029e-06,  1.7284240e-05
 7.1810712e+01,  9.3553517e-06,  1.7101318e-05
 7.1998636e+01,  9.2434785e-06,  1.6921565e-05
 7.2186560e+01,  9.1335786e-06,  1.6744858e-05
 7.2374484e+01,  9.0255531e-06,  1.6571103e-05
 7.2562408e+01,  8.9193093e-06,  1.6400222e-05
 7.2750332e+01,  8.8147608e-06,  1.6232140e-05
 7.2938256e+01,  8.7118273e-06,  1.6066787e-05
 7.3126180e+01,  8.6104349e-06,  1.5904092e-05
 7.3314104e+01,  8.5105155e-06,  1.5743986e-05
 7.3502028e+01,  8.4120072e-06,  1.5586412e-05
 7.3689952e+01,  8.3148543e-06,  1.5431260e-05
 7.3877876e+01,  8.2190046e-06,  1.5278507e-05
 7.4065799e+01,  8.1244139e-06,  1.5125572e-05
 7.4253723e+01,  8.0309764e-06,  1.4981168e-05
 7.4441647e+01,  7.9388016e-06,  1.4834282e-05
 7.4629571e+01,  7.8477707e-06,  1.4689948e-05
 7.4817494e+01,  7.7578622e-06,  1.4547819e-05
 7.5005418e+01,  7.6690563e-06,  1.4407697e-05
 7.5193342e+01,  7.5813363e-06,  1.4269455e-05
